2,4,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
4,5,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0
6,5,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01
5,4,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0
2,2,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0
2,4,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13
7,4,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38
5,4,91.0,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17
8,5,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01
2,4,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0
4,4,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0
2,5,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09
5,4,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0.0
6,5,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0
3,4,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0
5,6,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0
6,4,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0
1,2,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0
4,3,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36
8,3,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
6,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9
6,5,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14
7,4,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83
3,6,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0
3,4,91.8,170.9,692.3,13.7,20.6,59,0.9,0.0,0.0
3,4,91.1,88.2,731.7,8.3,22.8,46,4.0,0.0,4.95
6,5,92.0,203.2,664.5,8.1,19.1,70,2.2,0.0,0.0
1,2,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0
2,4,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0,54.29
3,5,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0
1,2,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0
3,4,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0
8,6,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
6,4,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9
1,4,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,9.71
3,6,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0
